Genero,Comunidad_senor,Comuniad_senora,rango_familia_menor_10,rango_familia_entre_10_y_20,rango_familia_entre_20_y_50,rango_familia_entre_50_y_70,rango_familia_mayor_70,rango_familia_NR,Variedad,Rango_cafe_entre_0_y_2.9,Rango_cafe_entre_3_y_9,Rango_cafe_mas_9,Rango_cafe_NR,Tipo_insumo_orgánico,Potrero,Potrero_Ganado,Estado_café_seco,Estado_café_NR,Credito
M,Afro,Campesino,"[2,4]","[2,5]",2,0,0,0,Fedecafetero,"[0, 2)","[3,10]",0,"[1,10]","[2,10]",No,No,"[12,  52)",2,Si
M,Afro,Afro,1,"[2,5]",2,0,0,0,Fedecafetero,"[2,10]","[0, 2)",0,0,1,Si,No,"[12,  52)",2,Si
M,Afro,Afro,0,0,"[0,2)",1,0,0,Fedecafetero,"[0, 2)",2,0,0,0,No,No,"[52,1096]",2,Si
M,Afro,Afro,1,0,2,0,0,0,Fedecafetero,"[2,10]","[0, 2)",0,0,0,No,No,"[52,1096]","[0,2)",Si
M,NA,Afro,0,1,"[0,2)",0,0,0,Fedecafetero,"[0, 2)",2,0,0,0,No,No,"[12,  52)",2,Si
M,Afro,NA,1,0,"[0,2)",0,0,0,otro/varios,"[0, 2)",2,0,0,0,No,No,"[12,  52)","[0,2)",Si
M,Afro,NA,"[2,4]",0,2,0,0,0,Fedecafetero,"[0, 2)","[3,10]",0,0,0,No,No,"[12,  52)",2,Si
M,Afro,Afro,"[2,4]",1,"[3,5]",0,0,0,Fedecafetero,"[2,10]","[0, 2)",0,"[1,10]",0,No,No,"[ 0,  12)",2,Si
M,Afro,NA,0,1,"[0,2)",0,0,0,Fedecafetero,"[0, 2)","[0, 2)",0,"[1,10]",0,No,No,"[ 0,  12)","[3,9]",Si
M,NA,Campesino,0,1,2,"[2,3]",0,0,otro/varios,"[2,10]","[3,10]",0,0,"[2,10]",Si,No,"[ 0,  12)","[3,9]",No
M,NA,Campesino,0,0,"[0,2)",1,0,0,Fedecafetero,"[2,10]","[3,10]","[1,2]",0,"[2,10]",No,No,"[12,  52)","[3,9]",Si
M,NA,Campesino,1,0,2,1,0,0,Fedecafetero,"[0, 2)",2,0,0,1,No,No,"[52,1096]","[0,2)",Si
